volume_id,severity,failure_type,recommended_action,evidence
108,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=43.26; nonair_delta=0.272
109,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=51.76; nonair_delta=0.079
110,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=71.17; nonair_delta=0.188
111,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=60.02; nonair_delta=0.055
112,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=66.61; nonair_delta=0.137
113,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=72.64; nonair_delta=0.204
114,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=58.17; nonair_delta=0.105
115,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=101.70; nonair_delta=0.331
116,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=45.46; nonair_delta=0.036
117,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=61.97; nonair_delta=0.104
118,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=57.37; nonair_delta=0.093
119,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=32.88; nonair_delta=0.086
120,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=41.55; nonair_delta=0.092
121,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=76.67; nonair_delta=0.162
122,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=65.80; nonair_delta=0.282
123,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=42.75; nonair_delta=0.104
124,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=52.70; nonair_delta=0.169
125,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=75.94; nonair_delta=0.186
126,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=51.60; nonair_delta=0.037
127,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=68.78; nonair_delta=0.142
128,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=60.09; nonair_delta=0.196
129,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=44.33; nonair_delta=0.038
130,critical,in_plane_orientation_mismatch,rebuild organ and tumor masks with rot180 in a new build,organ_intensity_delta=79.11; nonair_delta=0.310
