signature,artifact,exists,expected_sha256,actual_sha256,passed
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\gate_result.json,True,a496cad2bbe1b1c7a1226dcb44f98149e718ef8722a199565968406bd1afc3ec,a496cad2bbe1b1c7a1226dcb44f98149e718ef8722a199565968406bd1afc3ec,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\independent_metric_reconciliation.csv,True,72e552b4001276b404e63461d802d60172bd9f038f61eff122ea74c3d184aedc,72e552b4001276b404e63461d802d60172bd9f038f61eff122ea74c3d184aedc,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\input_verification.csv,True,15a45d58840b9d36511fddfb68728573b9b717c4584720774c91834394aacf09,15a45d58840b9d36511fddfb68728573b9b717c4584720774c91834394aacf09,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\lesion_difficulty_validation.csv,True,54cb1d3127c2740cc6a4a58715f15c11fb0d8950376251eda0cbd67cd7557273,54cb1d3127c2740cc6a4a58715f15c11fb0d8950376251eda0cbd67cd7557273,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\negative_control_physical_volume.csv,True,e919ad7e1452c0fb3ce76e5539ea0909c348f9f31c39d200ca4fc4b3dc15465d,e919ad7e1452c0fb3ce76e5539ea0909c348f9f31c39d200ca4fc4b3dc15465d,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\patient_risk_profile.csv,True,78baf84dab77c76ee5ce3ef113b6d41b5e124ddd7766cab81511953a9e285587,78baf84dab77c76ee5ce3ef113b6d41b5e124ddd7766cab81511953a9e285587,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\probability_histograms.csv,True,88bc7af3863758f4873769a3563ba9a6dfa2f9d1b37c23163009ab34d8fbca8a,88bc7af3863758f4873769a3563ba9a6dfa2f9d1b37c23163009ab34d8fbca8a,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\provenance.json,True,170a5dd6defbc9e378186b1a6b46439470dd138464724313a0d78d8a418d73a2,170a5dd6defbc9e378186b1a6b46439470dd138464724313a0d78d8a418d73a2,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\step_16_evidence_inventory_verification.csv,True,a5f08dc89077d91058ed55908a333c619328b2cbf4f8398fc16f34c9d7cce387,a5f08dc89077d91058ed55908a333c619328b2cbf4f8398fc16f34c9d7cce387,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\step_16_signature_verification.csv,True,c6ebcf819a5e178587bf68b7445fed4a67b802387fbde07042babe40e98e693d,c6ebcf819a5e178587bf68b7445fed4a67b802387fbde07042babe40e98e693d,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\validated_findings.csv,True,164522a15f5845ccc2683094bb9fc6d193bfabdad890d9c548bec55886d8fd4e,164522a15f5845ccc2683094bb9fc6d193bfabdad890d9c548bec55886d8fd4e,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\SOURCE_LABEL_CONCORDANCE_REPORT.md,True,7e8a350e2940bbe0a0afcef2e1a86e48d6892173295a6b72e78871e378c87356,7e8a350e2940bbe0a0afcef2e1a86e48d6892173295a6b72e78871e378c87356,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\case_adjudication_summary.csv,True,e06a8f3906445530be250f6fb9160f8fee928949dc39322ef6c530ec2287c8e7,e06a8f3906445530be250f6fb9160f8fee928949dc39322ef6c530ec2287c8e7,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\expected_vs_actual.csv,True,55dd986685452783004af528e94567ba8a99421279c81d1a46e25777c68219af,55dd986685452783004af528e94567ba8a99421279c81d1a46e25777c68219af,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\gate_result.json,True,d4e3802533bb85d4d0cd2604e91d546ccdffe323506fad1d06c9d0928e5bb636,d4e3802533bb85d4d0cd2604e91d546ccdffe323506fad1d06c9d0928e5bb636,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\highest_overlap_source_label_by_case.csv,True,072c334b167241581dda66cc0d3933d7b3e86827c0fef57de1d908f48dd305bd,072c334b167241581dda66cc0d3933d7b3e86827c0fef57de1d908f48dd305bd,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\input_verification.csv,True,376f902ecd4914a9d100b029c32bec3e8fabe107f291c7c2fb96653aa34179ed,376f902ecd4914a9d100b029c32bec3e8fabe107f291c7c2fb96653aa34179ed,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\provenance.json,True,2fef4f24e1127cf7c68505963c1c15913ef33b8e9d9324917bbd04171a5f791b,2fef4f24e1127cf7c68505963c1c15913ef33b8e9d9324917bbd04171a5f791b,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\selected_source_label_inventory.csv,True,692e986fa6ac8c88e5cb0501140822d67bae689635d7fc766712ef998a1bcb2d,692e986fa6ac8c88e5cb0501140822d67bae689635d7fc766712ef998a1bcb2d,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\source_label_concordance_panels.png,True,543b64257d214092384c432f99a9d45d636ccefb41ea8b8a1d815b4d14652829,543b64257d214092384c432f99a9d45d636ccefb41ea8b8a1d815b4d14652829,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\source_label_overlap_dashboard.png,True,2a05bee838b11dce838ac45c222f8f696f8c43477374c7526ef99a9340c689af,2a05bee838b11dce838ac45c222f8f696f8c43477374c7526ef99a9340c689af,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\source_label_prediction_concordance.csv,True,6000a5ee41879bf7c0650e3f55caab668194e599ab591e0d83aecaa951740e0c,6000a5ee41879bf7c0650e3f55caab668194e599ab591e0d83aecaa951740e0c,True
step_18_signature.json,step_18_source_label_concordance_and_failure_adjudication\outputs\source_mask_alignment_qc.csv,True,49cfb2a5a284df3bd8490fcee42833cd9a878787b0b984636b6fb98acb9feb58,49cfb2a5a284df3bd8490fcee42833cd9a878787b0b984636b6fb98acb9feb58,True
