split,volume_id,source_labels,labels_valid_0_1_2,tumour_containment_fraction,components_6conn,components_26conn,tiny_components_under_0_001_ml,max_consecutive_centroid_jump_vox,max_consecutive_area_ratio,shape_match,raw_affine_match,effective_affine_match_after_transform,affine_alignment_resolved,affine_resolution,roi_tumour_pixel_containment
train,62,"[0, 1, 2]",True,1.000000,2,2,0,5.336349,2.888889,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,63,"[0, 1, 2]",True,1.000000,5,5,0,32.326769,4.218182,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,64,"[0, 1, 2]",True,1.000000,1,1,0,2.435833,1.559939,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,65,"[0, 1, 2]",True,1.000000,1,1,0,1.184091,1.752294,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,66,"[0, 1, 2]",True,1.000000,5,5,0,47.699037,2.638889,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,67,"[0, 1, 2]",True,1.000000,1,1,0,2.230879,2.150000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,68,"[0, 1, 2]",True,1.000000,1,1,0,6.319969,8.400000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,69,"[0, 1, 2]",True,1.000000,1,1,0,2.685887,2.000000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,70,"[0, 1, 2]",True,1.000000,3,3,0,31.505648,2.390244,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,71,"[0, 1, 2]",True,1.000000,7,7,0,112.845370,1.700413,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,72,"[0, 1, 2]",True,1.000000,4,4,0,13.273857,1.652135,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,73,"[0, 1, 2]",True,1.000000,1,1,0,6.439114,3.491803,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,74,"[0, 1, 2]",True,1.000000,2,2,0,10.851314,2.072056,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,75,"[0, 1, 2]",True,1.000000,4,4,0,4.397162,3.226667,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,76,"[0, 1, 2]",True,1.000000,10,10,0,34.094941,8.300000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,77,"[0, 1, 2]",True,1.000000,2,2,0,7.767520,2.056548,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,78,"[0, 1, 2]",True,1.000000,14,14,0,110.749092,7.385542,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,79,"[0, 1, 2]",True,1.000000,10,10,0,59.686645,4.373016,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,80,"[0, 1, 2]",True,1.000000,2,2,0,4.895708,3.351145,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,81,"[0, 1, 2]",True,1.000000,1,1,0,3.461092,1.659574,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,82,"[0, 1, 2]",True,1.000000,1,1,0,11.662935,2.682540,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,83,"[0, 1, 2]",True,1.000000,1,1,0,1.016599,1.411765,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,84,"[0, 1, 2]",True,1.000000,14,11,3,54.822214,18.500000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,85,"[0, 1, 2]",True,1.000000,2,2,0,3.322102,1.394531,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,86,"[0, 1, 2]",True,1.000000,2,2,0,1.313958,20.500000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,87,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
train,88,"[0, 1, 2]",True,1.000000,7,6,1,73.395993,2.615385,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,89,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
train,90,"[0, 1, 2]",True,1.000000,8,7,1,53.184551,6.580645,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,91,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
train,92,"[0, 1, 2]",True,1.000000,9,9,0,67.252203,3.600000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,93,"[0, 1, 2]",True,1.000000,30,30,0,80.918562,3.106667,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,94,"[0, 1, 2]",True,1.000000,14,14,0,34.731259,4.333333,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,95,"[0, 1, 2]",True,1.000000,6,3,4,4.916614,22.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,96,"[0, 1, 2]",True,1.000000,29,23,6,119.324592,10.500000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,97,"[0, 1, 2]",True,1.000000,13,12,0,17.852198,1.761062,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,98,"[0, 1, 2]",True,1.000000,17,17,0,23.096242,20.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,99,"[0, 1, 2]",True,1.000000,13,13,0,69.562566,17.250000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,100,"[0, 1, 2]",True,1.000000,11,11,0,69.857261,26.750000,True,True,True,True,numeric_match_after_approved_transform,1.000000
train,101,"[0, 1, 2]",True,1.000000,20,17,10,29.235951,229.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,102,"[0, 1, 2]",True,1.000000,1,1,0,3.285459,3.925926,True,False,True,True,numeric_match_after_approved_transform,1.000000
train,103,"[0, 1, 2]",True,1.000000,2,2,0,15.483164,6.761905,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,104,"[0, 1, 2]",True,1.000000,10,6,2,28.817705,1.909091,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,105,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
val,106,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
val,107,"[0, 1, 2]",True,1.000000,4,4,0,19.528643,4.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,108,"[0, 1, 2]",True,1.000000,70,66,4,20.298598,17.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,109,"[0, 1, 2]",True,1.000000,30,28,0,126.632170,2.500000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,110,"[0, 1, 2]",True,1.000000,17,17,0,33.901345,1.719298,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,111,"[0, 1, 2]",True,1.000000,7,6,1,146.859308,18.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,112,"[0, 1, 2]",True,1.000000,4,4,0,1.568050,27.000000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,113,"[0, 1, 2]",True,1.000000,65,29,40,27.579906,14.500000,True,False,True,True,numeric_match_after_approved_transform,1.000000
val,114,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
val,115,"[0, 1]",True,,0,0,0,,,True,False,True,True,numeric_match_after_approved_transform,
val,116,"[0, 1, 2]",True,1.000000,1,1,0,2.779328,1.105871,True,False,True,True,numeric_match_after_approved_transform,1.000000
